review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_rating,review_scores_cleanlinessnan,review_scores_checkinnan,review_scores_communicationnan,review_scores_locationnan,review_scores_ratingnan
4.62,4.71,4.81,4.68,4.52,0,0,0,0,0
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0
4.57,4.76,4.76,4.66,4.33,0,0,0,0,0
4.66,4.79,4.79,4.76,4.55,0,0,0,0,0
4.25,5.0,4.6,4.8,4.4,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
4.9,4.99,5.0,4.94,4.93,0,0,0,0,0
4.35,4.73,4.75,4.53,4.52,0,0,0,0,0
5.0,5.0,4.92,4.69,5.0,0,0,0,0,0
4.8,4.4,4.8,5.0,5.0,0,0,0,0,0
4.98,4.98,4.98,4.95,4.92,0,0,0,0,0
4.33,4.97,5.0,4.83,4.61,0,0,0,0,0
4.89,4.97,4.95,4.51,4.7,0,0,0,0,0
4.98,4.97,4.97,4.9,4.95,0,0,0,0,0
4.95,4.98,4.95,4.75,4.9,0,0,0,0,0
4.91,4.91,4.93,4.77,4.86,0,0,0,0,0
4.29,4.9,4.96,4.6,4.64,0,0,0,0,0
4.84,4.92,4.98,4.99,4.84,0,0,0,0,0
5.0,5.0,5.0,5.0,4.96,0,0,0,0,0
4.68,4.72,4.87,4.65,4.6,0,0,0,0,0
4.51,4.86,4.86,4.57,4.57,0,0,0,0,0
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0
4.77,4.87,4.87,4.62,4.75,0,0,0,0,0
4.69,4.95,4.91,4.83,4.78,0,0,0,0,0
4.76,4.87,4.9,4.69,4.79,0,0,0,0,0
4.71,4.91,4.91,4.8,4.74,0,0,0,0,0
5.0,5.0,4.83,4.83,4.83,0,0,0,0,0
4.83,4.8,4.83,4.75,4.68,0,0,0,0,0
4.86,4.92,4.9,4.82,4.82,0,0,0,0,0
4.76,4.89,4.95,4.97,4.86,0,0,0,0,0
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
4.95,4.96,4.96,4.77,4.95,0,0,0,0,0
4.61,4.73,4.72,4.65,4.48,0,0,0,0,0
4.6,4.71,4.68,4.64,4.35,0,0,0,0,0
4.6,4.77,4.71,4.65,4.45,0,0,0,0,0
4.88,4.91,4.93,4.56,4.72,0,0,0,0,0
4.95,4.95,5.0,4.71,4.95,0,0,0,0,0
4.69,4.94,4.96,4.91,4.7,0,0,0,0,0
4.41,4.66,4.77,4.4,4.41,0,0,0,0,0
4.91,4.97,4.97,4.83,4.97,0,0,0,0,0
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0
4.56,4.11,4.7,4.6,4.1,0,0,0,0,0
4.95,4.95,4.94,4.94,4.82,0,0,0,0,0
4.92,4.92,4.92,4.92,5.0,0,0,0,0,0
4.91,4.93,4.9,4.57,4.82,0,0,0,0,0
4.17,5.0,4.83,4.67,4.67,0,0,0,0,0
4.85,4.84,4.95,4.8,4.88,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0
5.0,5.0,5.0,4.89,4.89,0,0,0,0,0
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0
4.25,4.63,4.63,4.25,4.25,0,0,0,0,0
4.94,4.99,4.98,4.75,4.83,0,0,0,0,0
3.0,5.0,4.75,5.0,3.75,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
4.67,4.94,4.88,4.96,4.73,0,0,0,0,0
4.07,4.75,4.92,4.35,4.1,0,0,0,0,0
4.69,4.95,4.95,4.78,4.77,0,0,0,0,0
4.76,4.78,4.82,4.77,4.69,0,0,0,0,0
